Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
unfurled, 8, 7, 11, 4, e s d a o i u r n l f,0,12,7,0
unfurling, 9, 7, 5, 1, e i n g u,0,8,5,0
unfurls, 7, 6, 7, 5, e i a o u n y,0,7,5,0
unfurnished, 11, 9, 8, 0, e i d s h n r u,0,6,3,0
unfussy, 7, 5, 8, 5, e i a o u n y k,0,7,5,0
ungainly, 8, 7, 7, 3, e i s l y r n,0,6,3,0
ungenerous, 10, 7, 2, 0, e n,0,4,2,0
ungenerously, 12, 9, 5, 1, i e l y n,0,4,2,0
ungentlemanly, 13, 9, 2, 1, i e,0,2,0,0
ungerminated, 12, 10, 4, 0, i a e t,0,4,1,0
unglamorous, 11, 9, 4, 2, e i o n,0,4,2,0
unglazed, 8, 8, 11, 4, e s d a t r l n u c z,0,15,9,1
ungodly, 7, 7, 6, 3, e i a o u l,0,7,5,0
ungovernable, 12, 10, 5, 1, i e l b a,0,4,1,0
ungoverned, 10, 8, 3, 1, e r s,0,6,3,0
ungraceful, 10, 9, 11, 3, e s i r l f a g n u t,0,5,3,0
ungracious, 10, 9, 7, 1, e i s o a c n,0,6,2,0
ungraciously, 12, 11, 7, 0, i a y l s u o,0,6,2,0
ungrammatical, 13, 10, 3, 1, i s a,0,3,1,0
ungrateful, 10, 9, 11, 2, e s i r l f a g n u t,0,5,2,0
ungratefully, 12, 10, 6, 1, i e l y f r,0,3,0,0
ungrounded, 10, 7, 4, 1, e s d n,0,6,3,0
unguarded, 9, 7, 6, 2, e s d o a r,0,9,5,0
unguessable, 11, 8, 6, 0, e a b l n u,0,7,3,0
unguided, 8, 6, 6, 2, e s d o u n,0,7,4,0
ungulates, 9, 8, 10, 2, e s i o a n t l u g,0,11,5,0
unhampered, 10, 9, 5, 0, e r d n h,0,6,3,0
unhand, 6, 5, 6, 4, e a s i t n,0,6,4,0
unhandy, 7, 6, 6, 3, e i a y l n,0,9,6,0
unhappier, 9, 8, 6, 2, e s d r a n,0,8,3,0
unhappiest, 10, 9, 5, 0, e s t i u,0,6,1,0
unhappily, 9, 8, 6, 2, e i n s y l,0,6,3,0
unhappiness, 11, 8, 4, 0, e s n h,0,5,2,0
unhappy, 7, 6, 6, 3, e i a y l n,0,7,5,0
unharmed, 8, 8, 9, 2, e s d a n u m r w,0,9,4,0
unhealthier, 11, 9, 3, 0, e r h,0,3,0,0
unhealthiest, 12, 9, 2, 0, i t,0,2,0,0
unhealthily, 11, 9, 4, 0, e i a n,0,3,0,0
unhealthy, 9, 8, 4, 2, e i r a,0,3,0,0
unheard, 7, 7, 6, 1, e a r n u y,0,9,4,0
unheated, 8, 7, 8, 2, e d t n i a u s,0,7,3,0
unheeded, 8, 5, 5, 1, e d n u s,0,9,6,0
unhelpful, 9, 7, 5, 3, e i r a n,0,6,4,0
unhelpfully, 11, 8, 4, 2, e i r n,0,5,4,0
unheralded, 10, 8, 4, 0, e r n d,0,8,4,0
unheroic, 8, 8, 5, 0, e r i u n,0,6,2,0
unhesitating, 12, 9, 4, 0, i t a e,0,5,1,0
unhesitatingly, 14, 11, 2, 0, i t,0,2,0,0
